year,quarter,month,week,code
2017,0,0,0,0
2016,0,0,0,0
2015,0,0,0,0
2015,1,0,0,201501
2015,0,1,0,201501
2015,0,0,1,201501
2015,2,0,0,201502
2015,0,2,0,201502
2015,0,0,2,201502
2015,3,0,0,201503
2015,0,3,0,201503
2015,0,0,3,201503
2015,4,0,0,201504
2015,0,4,0,201504
2015,0,0,4,201504
2015,0,5,0,201505
2015,0,0,5,201505
2015,0,6,0,201506
2015,0,0,6,201506
2015,0,7,0,201507
2015,0,0,7,201507
2015,0,8,0,201508
2015,0,0,8,201508
2015,0,9,0,201509
2015,0,0,9,201509
2015,0,10,0,201510
2015,0,0,10,201510
2015,0,11,0,201511
2015,0,0,11,201511
2015,0,12,0,201512
2015,0,0,12,201512
2015,0,0,13,201513
2015,0,0,14,201514
2015,0,0,15,201515
2015,0,0,16,201516
2015,0,0,17,201517
2015,0,0,18,201518
2015,0,0,19,201519
2015,0,0,20,201520
2015,0,0,21,201521
2015,0,0,22,201522
2015,0,0,23,201523
2015,0,0,24,201524
2015,0,0,25,201525
2015,0,0,26,201526
2015,0,0,27,201527
2015,0,0,28,201528
2015,0,0,29,201529
2015,0,0,30,201530
2015,0,0,31,201531
2015,0,0,32,201532
2015,0,0,33,201533
2015,0,0,34,201534
2015,0,0,35,201535
2015,0,0,36,201536
2015,0,0,37,201537
2015,0,0,38,201538
2015,0,0,39,201539
2015,0,0,40,201540
2015,0,0,41,201541
2015,0,0,42,201542
2015,0,0,43,201543
2015,0,0,44,201544
2015,0,0,45,201545
2015,0,0,46,201546
2015,0,0,47,201547
2015,0,0,48,201548
2015,0,0,49,201549
2015,0,0,50,201550
2015,0,0,51,201551
2015,0,0,52,201552
2015,0,0,53,201553
2016,1,0,0,201601
2016,0,1,0,201601
2016,0,0,1,201601
2016,2,0,0,201602
2016,0,2,0,201602
2016,0,0,2,201602
2016,3,0,0,201603
2016,0,3,0,201603
2016,0,0,3,201603
2016,4,0,0,201604
2016,0,4,0,201604
2016,0,0,4,201604
2016,0,5,0,201605
2016,0,0,5,201605
2016,0,6,0,201606
2016,0,0,6,201606
2016,0,7,0,201607
2016,0,0,7,201607
2016,0,8,0,201608
2016,0,0,8,201608
2016,0,9,0,201609
2016,0,0,9,201609
2016,0,10,0,201610
2016,0,0,10,201610
2016,0,11,0,201611
2016,0,0,11,201611
2016,0,12,0,201612
2016,0,0,12,201612
2016,0,0,13,201613
2016,0,0,14,201614
2016,0,0,15,201615
2016,0,0,16,201616
2016,0,0,17,201617
2016,0,0,18,201618
2016,0,0,19,201619
2016,0,0,20,201620
2016,0,0,21,201621
2016,0,0,22,201622
2016,0,0,23,201623
2016,0,0,24,201624
2016,0,0,25,201625
2016,0,0,26,201626
2016,0,0,27,201627
2016,0,0,28,201628
2016,0,0,29,201629
2016,0,0,30,201630
2016,0,0,31,201631
2016,0,0,32,201632
2016,0,0,33,201633
2016,0,0,34,201634
2016,0,0,35,201635
2016,0,0,36,201636
2016,0,0,37,201637
2016,0,0,38,201638
2016,0,0,39,201639
2016,0,0,40,201640
2016,0,0,41,201641
2016,0,0,42,201642
2016,0,0,43,201643
2016,0,0,44,201644
2016,0,0,45,201645
2016,0,0,46,201646
2016,0,0,47,201647
2016,0,0,48,201648
2016,0,0,49,201649
2016,0,0,50,201650
2016,0,0,51,201651
2016,0,0,52,201652
2016,0,0,53,201653
2017,1,0,0,201701
2017,0,1,0,201701
2017,0,0,1,201701
2017,2,0,0,201702
2017,0,2,0,201702
2017,0,0,2,201702
2017,0,3,0,201703
2017,0,0,3,201703
2017,0,4,0,201704
2017,0,0,4,201704
2017,0,0,5,201705
2017,0,0,6,201706
2017,0,0,7,201707
2017,0,0,8,201708
2017,0,0,9,201709
2017,0,0,10,201710
2017,0,0,11,201711
2017,0,0,12,201712
2017,0,0,13,201713
2017,0,0,14,201714
2017,0,0,15,201715
2017,0,0,52,201752
